Primate_div_Project	Great_ape_data
PD_0323-Chiropotes_albinasus	
PD_0324-Chiropotes_albinasus	
PD_0325-Chiropotes_albinasus	
PD_0326-Chiropotes_israelita	
PD_0327-Chiropotes_israelita	
PD_0328-Chiropotes_israelita	
PD_0329-Chiropotes_sagulatus	
PD_0330-Chiropotes_sagulatus	
PD_0331-Pithecia_pissinattii	
PD_0332-Plecturocebus_bernhardi	
PD_0334-Plecturocebus_brunneus	
PD_0335-Plecturocebus_caligatus	
PD_0336-Plecturocebus_caligatus	
PD_0338-Plecturocebus_cupreus	
PD_0339-Plecturocebus_cupreus	
PD_0340-Plecturocebus_cupreus	
PD_0341-Plecturocebus_cupreus	
PD_0342-Plecturocebus_dubius	
PD_0343-Plecturocebus_dubius	
PD_0344-Plecturocebus_moloch	
PD_0345-Chiropotes_albinasus	
PD_0434-Cacajao_calvus	
PD_0435-Cacajao_calvus	
PD_0436-Cacajao_calvus	
PD_0437-Cacajao_calvus	
PD_0262-Pongo_pygmaeus	
PD_0263-Pongo_abelii	
PD_0146-Avahi_laniger	
PD_0147-Avahi_peyrierasi	
PD_0167-Propithecus_coronatus	
PD_0168-Propithecus_diadema	
PD_0169-Propithecus_edwardsi	
PD_0170-Propithecus_perrieri	
PD_0171-Propithecus_tattersalli	
PD_0172-Propithecus_verreauxi	
PD_0251-Propithecus_diadema	
PD_0252-Propithecus_perrieri	
PD_0609-Propithecus_coquereli	
PD_0854-Indri_indri	
PD_0038-Presbytis_mitrata	
PD_0039-Piliocolobus_badius	
PD_0045-Piliocolobus_gordonorum	
PD_0046-Piliocolobus_kirkii	
PD_0047-Piliocolobus_tephrosceles	
PD_0048-Trachypithecus_crepusculus	
PD_0052-Presbytis_comata	
PD_0053-Trachypithecus_auratus	
PD_0054-Trachypithecus_francoisi	
PD_0064-Trachypithecus_obscurus	
PD_0065-Semnopithecus_johnii	
PD_0100-Semnopithecus_priam	
PD_0101-Trachypithecus_cristatus	
PD_0102-Semnopithecus_entellus	
PD_0104-Pygathrix_nemaeus	
PD_0106-Pygathrix_cinerea	
PD_0107-Pygathrix_cinerea	
PD_0108-Pygathrix_cinerea	
PD_0109-Pygathrix_cinerea	
PD_0254-Pygathrix_nemaeus	
PD_0255-Pygathrix_nemaeus	
PD_0582-Semnopithecus_entellus	
PD_0583-Semnopithecus_entellus	
PD_0584-Semnopithecus_entellus	
PD_0585-Semnopithecus_entellus	
PD_0586-Semnopithecus_entellus	
PD_0587-Semnopithecus_entellus	
PD_0589-Semnopithecus_hypoleucos	
PD_0590-Semnopithecus_hypoleucos	
PD_0591-Semnopithecus_hypoleucos	
PD_0592-Semnopithecus_hypoleucos	
PD_0593-Semnopithecus_schistaceus	
PD_0594-Semnopithecus_schistaceus	
PD_0595-Trachypithecus_geei	
PD_0596-Trachypithecus_geei	
PD_0597-Trachypithecus_geei	
PD_0598-Trachypithecus_geei	
PD_0600-Trachypithecus_geei	
PD_0601-Semnopithecus_johnii	
PD_0602-Trachypithecus_phayrei	
PD_0603-Trachypithecus_pileatus	
PD_0843-Semnopithecus_vetulus	
PD_0847-Semnopithecus_vetulus	
PD_0849-Trachypithecus_laotum	
PD_0850-Trachypithecus_melamera	
PD_0851-Trachypithecus_leucocephalus	
PD_0852-Trachypithecus_hatinhensis	
PD_0853-Trachypithecus_germaini	
PD_0009-Saguinus_inustus	
PD_0017-Leontocebus_nigricollis	
PD_0118-Leontocebus_illigeri	
PD_0119-Saguinus_imperator	
PD_0121-Saguinus_midas	
PD_0122-Saguinus_oedipus	
PD_0123-Leontocebus_fuscicollis	
PD_0174-Saguinus_geoffroyi	
PD_0346-Saguinus_bicolor	
PD_0349-Saguinus_midas	
PD_0350-Saguinus_midas	
PD_0352-Leontocebus_fuscicollis	
PD_0404-Tarsius_lariang	
PD_0405-Tarsius_wallacei	
PD_0628-Cephalopachus_bancanus	
PD_0629-Carlito_syrichta	
PD_0067-Theropithecus_gelada	
