Primate_div_Project	Great_ape_data
PD_0218-Papio_anubis	
PD_0219-Papio_anubis	
PD_0220-Papio_anubis	
PD_0221-Papio_anubis	
PD_0222-Papio_anubis	
PD_0223-Papio_cynocephalus	
PD_0224-Papio_cynocephalus	
PD_0225-Papio_cynocephalus	
PD_0226-Papio_cynocephalus	
PD_0227-Papio_cynocephalus	
PD_0228-Papio_cynocephalus	
PD_0229-Papio_cynocephalus	
PD_0230-Papio_cynocephalus	
PD_0231-Papio_cynocephalus	
PD_0232-Papio_cynocephalus	
PD_0233-Papio_cynocephalus	
PD_0234-Papio_cynocephalus	
PD_0235-Papio_cynocephalus	
PD_0236-Papio_cynocephalus	
PD_0237-Papio_cynocephalus	
PD_0238-Papio_anubis	
PD_0239-Papio_anubis	
PD_0240-Papio_anubis	
PD_0241-Papio_anubis	
PD_0242-Papio_anubis	
PD_0243-Papio_anubis	
PD_0244-Papio_anubis	
PD_0390-Papio_papio	
PD_0391-Papio_papio	
PD_0392-Papio_papio	
PD_0393-Papio_papio	
PD_0394-Papio_papio	
PD_0395-Papio_papio	
PD_0396-Papio_papio	
PD_0397-Papio_papio	
PD_0398-Papio_papio	
PD_0399-Papio_papio	
PD_0400-Papio_papio	
PD_0401-Papio_papio	
PD_0692-Papio_ursinus	
PD_0693-Papio_ursinus	
PD_0694-Papio_ursinus	
PD_0695-Papio_ursinus	
PD_0696-Papio_hamadryas	
PD_0697-Papio_hamadryas	
PD_0698-Papio_hamadryas	
PD_0699-Papio_hamadryas	
PD_0700-Papio_hamadryas	
PD_0701-Papio_hamadryas	
PD_0702-Papio_hamadryas	
PD_0703-Papio_hamadryas	
PD_0704-Papio_hamadryas	
PD_0705-Papio_hamadryas	
PD_0706-Papio_hamadryas	
PD_0707-Papio_hamadryas	
PD_0708-Papio_hamadryas	
PD_0709-Papio_hamadryas	
PD_0710-Papio_hamadryas	
PD_0711-Papio_hamadryas	
PD_0712-Papio_hamadryas	
PD_0713-Papio_hamadryas	
PD_0714-Papio_hamadryas	
PD_0715-Papio_hamadryas	
PD_0716-Papio_hamadryas	
PD_0717-Papio_hamadryas	
PD_0718-Papio_hamadryas	
PD_0719-Papio_hamadryas	
PD_0720-Papio_anubis	
PD_0721-Papio_anubis	
PD_0722-Papio_anubis	
PD_0723-Papio_anubis	
PD_0724-Papio_anubis	
PD_0725-Papio_anubis	
PD_0726-Papio_anubis	
PD_0727-Papio_anubis	
PD_0728-Papio_anubis	
PD_0729-Papio_anubis	
PD_0730-Papio_anubis	
PD_0731-Papio_anubis	
PD_0732-Papio_anubis	
PD_0733-Papio_anubis	
PD_0734-Papio_anubis	
PD_0735-Papio_anubis	
PD_0736-Papio_anubis	
PD_0737-Papio_anubis	
PD_0738-Papio_anubis	
PD_0739-Papio_anubis	
PD_0740-Papio_anubis	
PD_0741-Papio_anubis	
PD_0742-Papio_anubis	
PD_0743-Papio_anubis	
PD_0744-Papio_anubis	
PD_0745-Papio_cynocephalus	
PD_0746-Papio_cynocephalus	
PD_0747-Papio_cynocephalus	
PD_0748-Papio_cynocephalus	
PD_0749-Papio_kindae	
PD_0750-Papio_kindae	
PD_0751-Papio_kindae	
PD_0752-Papio_cynocephalus	
PD_0753-Papio_cynocephalus	
PD_0754-Papio_cynocephalus	
PD_0755-Papio_cynocephalus	
PD_0756-Papio_cynocephalus	
PD_0757-Papio_cynocephalus	
PD_0758-Papio_kindae	
PD_0759-Papio_kindae	
PD_0760-Papio_kindae	
PD_0761-Papio_cynocephalus	
PD_0762-Papio_cynocephalus	
PD_0763-Papio_cynocephalus	
PD_0764-Papio_cynocephalus	
PD_0765-Papio_cynocephalus	
PD_0766-Papio_cynocephalus	
PD_0767-Papio_cynocephalus	
PD_0768-Papio_cynocephalus	
PD_0769-Papio_cynocephalus	
PD_0770-Papio_cynocephalus	
PD_0771-Papio_cynocephalus	
PD_0772-Papio_cynocephalus	
PD_0773-Papio_cynocephalus	
PD_0774-Papio_cynocephalus	
PD_0775-Papio_cynocephalus	
PD_0776-Papio_kindae	
PD_0777-Papio_kindae	
PD_0778-Papio_kindae	
PD_0779-Papio_kindae	
PD_0780-Papio_kindae	
PD_0781-Papio_kindae	
PD_0782-Papio_kindae	
PD_0783-Papio_kindae	
PD_0784-Papio_kindae	
PD_0785-Papio_kindae	
PD_0786-Papio_kindae	
PD_0787-Papio_kindae	
PD_0788-Papio_kindae	
PD_0789-Papio_kindae	
PD_0790-Papio_kindae	
PD_0791-Papio_kindae	
PD_0792-Papio_kindae	
PD_0793-Papio_kindae	
PD_0794_BAB-Papio_kindae	
PD_0038-Presbytis_mitrata	
PD_0039-Piliocolobus_badius	
PD_0045-Piliocolobus_gordonorum	
PD_0046-Piliocolobus_kirkii	
PD_0047-Piliocolobus_tephrosceles	
PD_0048-Trachypithecus_crepusculus	
PD_0052-Presbytis_comata	
PD_0053-Trachypithecus_auratus	
PD_0054-Trachypithecus_francoisi	
PD_0063-Semnopithecus_vetulus	
PD_0064-Trachypithecus_obscurus	
PD_0065-Semnopithecus_johnii	
PD_0069-Nasalis_larvatus	
PD_0100-Semnopithecus_priam	
PD_0101-Trachypithecus_cristatus	
PD_0102-Semnopithecus_entellus	
